workload_counter,input_len,max_freq,aperf,mperf
0,20971520,3700000000,5901215559,5598589947
1,20971520,3700000000,4814619071,4567716217
2,20971520,3700000000,4813429998,4566587750
3,20971520,3700000000,4815190201,4568257815
4,20971520,3700000000,4814835096,4567921085
