MGHOUT:index,input_size(B),workload_output_duration(ms)
MGHOUT:0,20971520,1239.558788
MGHOUT:1,20971520,1238.685812
MGHOUT:2,20971520,1238.945505
MGHOUT:3,20971520,1238.292905
MGHOUT:4,20971520,1238.246748
MGHOUT:5,20971520,1240.919076
MGHOUT:6,20971520,1254.286193
MGHOUT:7,20971520,1238.140766
MGHOUT:8,20971520,1239.410412
MGHOUT:9,20971520,1238.241584
