workload_counter,input_len,workload_cycles
0,1048576,3066626
1,1048576,3066276
2,1048576,3067616
3,1048576,3062798
4,1048576,3067300
10,2097152,6131554
11,2097152,6130148
12,2097152,6134586
13,2097152,6133568
14,2097152,6133896
20,3145728,9197454
21,3145728,9199282
22,3145728,9193998
23,3145728,9199534
24,3145728,9195484
30,4194304,12262404
31,4194304,12267032
32,4194304,12257588
33,4194304,12263770
34,4194304,12264744
40,5242880,15334680
41,5242880,15330648
42,5242880,15327134
43,5242880,15328876
44,5242880,15334148
50,6291456,18401352
51,6291456,18394724
52,6291456,18416256
53,6291456,18396630
54,6291456,18393000
60,7340032,21460418
61,7340032,21562446
62,7340032,21464888
63,7340032,21461644
64,7340032,21458882
70,8388608,24529522
71,8388608,24525056
72,8388608,24527268
73,8388608,24529088
74,8388608,24522500
80,9437184,27595328
81,9437184,27590466
82,9437184,27598542
83,9437184,27596172
84,9437184,27593272
90,10485760,30656428
91,10485760,30656018
92,10485760,30663274
93,10485760,30662738
94,10485760,30658132
100,11534336,33729500
101,11534336,33727820
102,11534336,33728912
103,11534336,33723310
104,11534336,33720680
110,12582912,36785876
111,12582912,36793996
112,12582912,36792382
113,12582912,36786828
114,12582912,36795360
120,13631488,39854226
121,13631488,39859558
122,13631488,39852472
123,13631488,39859894
124,13631488,39860432
130,14680064,42923396
131,14680064,42916700
132,14680064,42919184
133,14680064,42916798
134,14680064,42944806
140,15728640,46007578
141,15728640,45996796
142,15728640,46340354
143,15728640,45990904
144,15728640,45992570
150,16777216,49073324
151,16777216,49051706
152,16777216,49051738
153,16777216,49072580
154,16777216,49054530
160,17825792,52120506
161,17825792,52116948
162,17825792,52117066
163,17825792,52112080
164,17825792,52115742
170,18874368,55186946
171,18874368,55184482
172,18874368,55189818
173,18874368,55190830
174,18874368,55187976
180,19922944,58249802
181,19922944,58244154
182,19922944,58246504
183,19922944,58244814
184,19922944,58250404
190,20971520,61321160
191,20971520,61321388
192,20971520,61319954
193,20971520,61319004
194,20971520,61327878
200,22020096,64392132
201,22020096,64385772
202,22020096,64383978
203,22020096,64380970
204,22020096,64390698
210,23068672,67448884
211,23068672,67441144
212,23068672,67450298
213,23068672,67443834
214,23068672,67442538
220,24117248,70557594
221,24117248,70520814
222,24117248,70520382
223,24117248,70513990
224,24117248,70515360
230,25165824,73577506
231,25165824,73574530
232,25165824,73580620
233,25165824,73585938
234,25165824,73576446
240,26214400,76650998
241,26214400,76679908
242,26214400,76639304
243,26214400,76639470
244,26214400,76646246
250,27262976,79708866
251,27262976,79712030
252,27262976,79717074
253,27262976,79710872
254,27262976,79712812
260,28311552,82769908
261,28311552,82785384
262,28311552,82774146
263,28311552,82782694
264,28311552,82782696
270,29360128,85847040
271,29360128,85844432
272,29360128,85837932
273,29360128,85842478
274,29360128,85846684
280,30408704,88962094
281,30408704,88992094
282,30408704,88911896
283,30408704,88912124
284,30408704,88914352
290,31457280,91981534
291,31457280,91970210
292,31457280,91975102
293,31457280,91977310
294,31457280,91974658
300,32505856,95033928
301,32505856,95039258
302,32505856,95034424
303,32505856,95041380
304,32505856,95032276
310,33554432,98125716
311,33554432,98137626
312,33554432,98100338
313,33554432,98146496
314,33554432,98108600
320,34603008,101168824
321,34603008,101170466
322,34603008,101164356
323,34603008,101171860
324,34603008,101320818
330,35651584,104237854
331,35651584,104236152
332,35651584,104239982
333,35651584,104237472
334,35651584,104232936
340,36700160,107298156
341,36700160,107300838
342,36700160,107295346
343,36700160,107302816
344,36700160,107297472
350,37748736,110368734
351,37748736,110367588
352,37748736,110372556
353,37748736,110361472
354,37748736,110361428
360,38797312,113437494
361,38797312,113433242
362,38797312,113434698
363,38797312,113426524
364,38797312,113433390
370,39845888,116501336
371,39845888,116494870
372,39845888,116497434
373,39845888,116502182
374,39845888,116504954
380,40894464,119566212
381,40894464,119569436
382,40894464,119559450
383,40894464,119562046
384,40894464,119569088
