workload_counter,input_len,max_freq,aperf,mperf
0,20971520,3700000000,2093248411,1985903147
1,20971520,3700000000,972407743,922541155
2,20971520,3700000000,980270529,930000539
3,20971520,3700000000,997614795,946455663
4,20971520,3700000000,1007373623,955713752
