MGHOUT:index,input_size(B),workload_output_duration(ms)
MGHOUT:0,20971520,1226.915777
MGHOUT:1,20971520,1223.528134
MGHOUT:2,20971520,1235.463087
MGHOUT:3,20971520,1241.512545
MGHOUT:4,20971520,1223.40888
MGHOUT:5,20971520,1236.463606
MGHOUT:6,20971520,1236.348697
MGHOUT:7,20971520,1222.077381
MGHOUT:8,20971520,1224.509369
MGHOUT:9,20971520,1257.809915
