MGHOUT:index,input_size(B),workload_output_duration(ms)
MGHOUT:0,20971520,29.095679
MGHOUT:1,20971520,28.462169
MGHOUT:2,20971520,28.528985
MGHOUT:3,20971520,28.414878
MGHOUT:4,20971520,28.483455
MGHOUT:5,20971520,28.483765
MGHOUT:6,20971520,28.421488
MGHOUT:7,20971520,28.417415
MGHOUT:8,20971520,28.411936
MGHOUT:9,20971520,28.430041
