1048576|875327634,875097910,875608194,875080976,875226316
2097152|1477872662,1477649960,1477746612,1477674768,1477891380
3145728|2080776214,2080679100,2080602310,2080358854,2080552578
4194304|2683581106,2683514152,2683645866,2683938048,2683302050
5242880|3286780128,3287447646,3287448748,3287526648,3286824310
6291456|3889599916,3889541196,3889571878,3889690754,3890714148
7340032|4494275764,4494570282,4494134354,4494499808,4493868010
8388608|5096091392,5096349580,5096803882,5097280548,5096086406
9437184|5701699746,5701198320,5701325064,5700750810,5701416232
10485760|6311342854,6311655992,6310425488,6311145132,6310841536
11534336|6916292678,6916171250,6915712836,6916235160,6915877996
12582912|7519710916,7519606200,7518657104,7519538614,7518847510
13631488|8126723314,8124858610,8124852496,8124010536,8124356978
14680064|8727239304,8728140410,8727215808,8728038156,8727974462
15728640|9334637472,9333983834,9335089334,9333503374,9334456268
16777216|9937135200,9937475562,9938048858,9937850232,9938033000
17825792|10544016736,10542961098,10543629200,10543876232,10544453860
18874368|11147875946,11148062224,11148470262,11148002218,11147922062
19922944|11752833210,11755022872,11753029708,11755328876,11752626564
20971520|12357808944,12357936440,12358508240,12356963114,12358279690
22020096|12964677836,12963727798,12965229928,12965465978,12964528082
23068672|13575571090,13569982944,13567533938,13569935010,13569806950
24117248|14177178684,14176057852,14175510404,14175715718,14176880642
25165824|14778836322,14781308844,14781517726,14782178482,14780208310
26214400|15389458844,15387907534,15389047400,15387652170,15389979468
27262976|15993630084,15992344756,15993109942,15993830304,15995612312
28311552|16600443778,16600319360,16601925746,16601626174,16600376688
29360128|17207805702,17204233090,17205055574,17205726714,17205338870
30408704|17815187090,17814338780,17815120094,17815018820,17814786258
31457280|18420263104,18416661392,18417289308,18417465238,18419022084
32505856|19028154470,19028046350,19029823844,19025884948,19026363442
33554432|19633603492,19632416052,19633616208,19634254552,19635466046
34603008|20242340974,20242907710,20242426932,20242463262,20242952764
35651584|20846351682,20846430178,20848006176,20848540214,20846902276
36700160|21456674940,21457906776,21456875398,21457942794,21457186912
37748736|22061853140,22063990906,22063645966,22063578370,22061442968
38797312|22673119142,22672722944,22672607504,22673186242,22673214982
39845888|23277337618,23277950880,23278327578,23278524484,23279135484
40894464|23889573260,23889483990,23889167490,23889882632,23889795100
