workload_counter,input_len,workload_cycles
5,1048576,8473584
6,1048576,8480204
7,1048576,8466112
8,1048576,8467786
9,1048576,8459242
15,2097152,17037170
16,2097152,17020018
17,2097152,17002660
18,2097152,16968750
19,2097152,16978526
25,3145728,25560260
26,3145728,25608692
27,3145728,25534952
28,3145728,25542982
29,3145728,25528946
35,4194304,34139444
36,4194304,34093372
37,4194304,34190786
38,4194304,34169160
39,4194304,34148444
45,5242880,42919000
46,5242880,42796200
47,5242880,43058096
48,5242880,43053850
49,5242880,42902666
55,6291456,67544668
56,6291456,67644978
57,6291456,67234802
58,6291456,66564300
59,6291456,64263802
65,7340032,76737792
66,7340032,74454030
67,7340032,76898464
68,7340032,77288664
69,7340032,77570120
75,8388608,84632330
76,8388608,87587038
77,8388608,83776536
78,8388608,84392362
79,8388608,82985640
85,9437184,92990210
86,9437184,94985080
87,9437184,94287502
88,9437184,95030370
89,9437184,95320522
95,10485760,104203740
96,10485760,105828712
97,10485760,106328648
98,10485760,106819452
99,10485760,106508064
105,11534336,123130982
106,11534336,117186294
107,11534336,124977080
108,11534336,126279706
109,11534336,128054080
115,12582912,166283292
116,12582912,166001436
117,12582912,166360198
118,12582912,170657548
119,12582912,169636172
125,13631488,233239514
126,13631488,232082096
127,13631488,228045406
128,13631488,234230244
129,13631488,237006638
135,14680064,275367962
136,14680064,274548144
137,14680064,279580434
138,14680064,279416732
139,14680064,278506124
145,15728640,316871014
146,15728640,316277462
147,15728640,319989376
148,15728640,320007280
149,15728640,319732280
155,16777216,355819198
156,16777216,353335646
157,16777216,351005484
158,16777216,352654766
159,16777216,351495222
165,17825792,384777884
166,17825792,385955036
167,17825792,384148662
168,17825792,384844262
169,17825792,385048012
175,18874368,417264930
176,18874368,415904108
177,18874368,418194996
178,18874368,419860930
179,18874368,418884410
185,19922944,449080204
186,19922944,448254404
187,19922944,446810462
188,19922944,446139992
189,19922944,447658972
195,20971520,478776312
196,20971520,477943558
197,20971520,476688982
198,20971520,477516580
199,20971520,477931040
205,22020096,509111202
206,22020096,507538262
207,22020096,509558922
208,22020096,508951512
209,22020096,509876556
215,23068672,540955030
216,23068672,541918836
217,23068672,540207588
218,23068672,541254358
219,23068672,539398974
225,24117248,568354486
226,24117248,568494006
227,24117248,567889880
228,24117248,567970168
229,24117248,567780226
235,25165824,600220544
236,25165824,599547880
237,25165824,597288622
238,25165824,598609302
239,25165824,597091146
245,26214400,626531330
246,26214400,627134642
247,26214400,626597570
248,26214400,627574718
249,26214400,627280386
255,27262976,659098414
256,27262976,658031066
257,27262976,656827458
258,27262976,656117032
259,27262976,656223158
265,28311552,686902454
266,28311552,685713572
267,28311552,686119350
268,28311552,689019762
269,28311552,688983130
275,29360128,715251690
276,29360128,715577894
277,29360128,715926302
278,29360128,717006108
279,29360128,715810194
285,30408704,744537990
286,30408704,744649508
287,30408704,743676258
288,30408704,745830518
289,30408704,744332970
295,31457280,771938694
296,31457280,774367682
297,31457280,773122766
298,31457280,774188304
299,31457280,773757196
305,32505856,805202920
306,32505856,803510622
307,32505856,803646490
308,32505856,802697934
309,32505856,803114380
315,33554432,832404790
316,33554432,831543546
317,33554432,832375800
318,33554432,832112220
319,33554432,831679544
325,34603008,865359210
326,34603008,862768612
327,34603008,861392792
328,34603008,861525686
329,34603008,861077192
335,35651584,893745094
336,35651584,892266216
337,35651584,889844616
338,35651584,890565900
339,35651584,889297450
345,36700160,922776792
346,36700160,922215944
347,36700160,919848222
348,36700160,917357196
349,36700160,918557828
355,37748736,949670048
356,37748736,948082056
357,37748736,947589826
358,37748736,948034224
359,37748736,947900906
365,38797312,977818680
366,38797312,976100906
367,38797312,976694022
368,38797312,976519898
369,38797312,975595914
375,39845888,1006687430
376,39845888,1006985866
377,39845888,1006645772
378,39845888,1007698216
379,39845888,1010419900
385,40894464,1039935790
386,40894464,1039085822
387,40894464,1039758958
388,40894464,1034455884
389,40894464,1035576328
