workload_counter,input_len,max_freq,aperf,mperf
5,20971520,3700000000,4793725360,4547893755
6,20971520,3700000000,4793644636,4547816982
7,20971520,3700000000,4783229598,4537936288
8,20971520,3700000000,4793003866,4547209596
9,20971520,3700000000,4792844381,4547057791
