workload_counter,input_len,max_freq,aperf,mperf
5,1048576,3700000000,254398172,241352380
6,1048576,3700000000,254297096,241256485
7,1048576,3700000000,254354105,241310587
8,1048576,3700000000,254393206,241347665
9,1048576,3700000000,254338278,241295557
15,2097152,3700000000,508583731,482502795
16,2097152,3700000000,508785906,482694600
17,2097152,3700000000,508758671,482668751
18,2097152,3700000000,508719169,482631314
19,2097152,3700000000,508647583,482563394
25,3145728,3700000000,763060104,723929106
26,3145728,3700000000,762947652,723822413
27,3145728,3700000000,763177793,724040746
28,3145728,3700000000,762947748,723822516
29,3145728,3700000000,763058169,723927251
35,4194304,3700000000,1017383184,965209969
36,4194304,3700000000,1017349084,965177605
37,4194304,3700000000,1017441122,965264925
38,4194304,3700000000,1017322377,965152273
39,4194304,3700000000,1017336100,965165294
45,5242880,3700000000,1271728298,1206511733
46,5242880,3700000000,1271729680,1206513047
47,5242880,3700000000,1271670720,1206457112
48,5242880,3700000000,1271713138,1206497356
49,5242880,3700000000,1271701829,1206486640
55,6291456,3700000000,1525827161,1447579887
56,6291456,3700000000,1525943479,1447690253
57,6291456,3700000000,1525943377,1447690144
58,6291456,3700000000,1525715935,1447474366
59,6291456,3700000000,1525941601,1447688440
65,7340032,3700000000,1780266430,1688971020
66,7340032,3700000000,1780092394,1688805900
67,7340032,3700000000,1780168796,1688878359
68,7340032,3700000000,1780261990,1688966763
69,7340032,3700000000,1780229160,1688935629
75,8388608,3700000000,2034662072,1930320693
76,8388608,3700000000,2034701513,1930358147
77,8388608,3700000000,2034724680,1930380111
78,8388608,3700000000,2034535443,1930200581
79,8388608,3700000000,2034648182,1930307518
85,9437184,3700000000,2288740999,2171369961
86,9437184,3700000000,2288951902,2171570017
87,9437184,3700000000,2288924050,2171543613
88,9437184,3700000000,2289068589,2171680752
89,9437184,3700000000,2288792771,2171419082
95,10485760,3700000000,2543299956,2412874575
96,10485760,3700000000,2543128658,2412712096
97,10485760,3700000000,2543152517,2412734703
98,10485760,3700000000,2543222928,2412801524
99,10485760,3700000000,2543414715,2412983461
105,11534336,3700000000,2797673962,2654203771
106,11534336,3700000000,2797493511,2654032568
107,11534336,3700000000,2797380439,2653925317
108,11534336,3700000000,2797657601,2654188280
109,11534336,3700000000,2797685122,2654214376
115,12582912,3700000000,3051719903,2895221729
116,12582912,3700000000,3051776203,2895275145
117,12582912,3700000000,3051892000,2895385025
118,12582912,3700000000,3051833093,2895329126
119,12582912,3700000000,3052355025,2895824270
125,13631488,3700000000,3306350181,3136794065
126,13631488,3700000000,3306164472,3136617863
127,13631488,3700000000,3306160859,3136614438
128,13631488,3700000000,3306346340,3136790376
129,13631488,3700000000,3306201726,3136653211
135,14680064,3700000000,3560336291,3377755239
136,14680064,3700000000,3560577094,3377983678
137,14680064,3700000000,3560451857,3377864889
138,14680064,3700000000,3560304994,3377725539
139,14680064,3700000000,3560589897,3377995820
145,15728640,3700000000,3814675023,3619050944
146,15728640,3700000000,3814812159,3619181048
147,15728640,3700000000,3814907198,3619271207
148,15728640,3700000000,3815364160,3619704726
149,15728640,3700000000,3814871394,3619237255
155,16777216,3700000000,4069143397,3860469674
156,16777216,3700000000,4069022407,3860354874
157,16777216,3700000000,4069012395,3860345384
158,16777216,3700000000,4069071151,3860401138
159,16777216,3700000000,4069195862,3860519410
165,17825792,3700000000,4323378940,4101667466
166,17825792,3700000000,4323837217,4102102282
167,17825792,3700000000,4323391043,4101678962
168,17825792,3700000000,4323428805,4101714787
169,17825792,3700000000,4323636860,4101912149
175,18874368,3700000000,4578194970,4343416006
176,18874368,3700000000,4578043456,4343272268
177,18874368,3700000000,4578015451,4343245716
178,18874368,3700000000,4577744689,4342988858
179,18874368,3700000000,4577751227,4342995034
185,19922944,3700000000,4832217278,4584411556
186,19922944,3700000000,4832296604,4584486797
187,19922944,3700000000,4831864459,4584076819
188,19922944,3700000000,4832065405,4584267458
189,19922944,3700000000,4831994061,4584199783
195,20971520,3700000000,5086321826,4825485092
196,20971520,3700000000,5086710896,4825854207
197,20971520,3700000000,5086110153,4825284271
198,20971520,3700000000,5086383662,4825543745
199,20971520,3700000000,5086407845,4825566685
205,22020096,3700000000,5340435415,5066567237
206,22020096,3700000000,5340402294,5066535794
207,22020096,3700000000,5340738420,5066854661
208,22020096,3700000000,5340764373,5066879302
209,22020096,3700000000,5340580211,5066704571
215,23068672,3700000000,5595200617,5308267550
216,23068672,3700000000,5595225780,5308291380
217,23068672,3700000000,5595349296,5308408569
218,23068672,3700000000,5595562787,5308611127
219,23068672,3700000000,5595312115,5308373306
225,24117248,3700000000,5849289990,5549326694
226,24117248,3700000000,5849728070,5549742305
227,24117248,3700000000,5849424774,5549454538
228,24117248,3700000000,5849265394,5549303321
229,24117248,3700000000,5849350113,5549383722
235,25165824,3700000000,6103545885,5790543811
236,25165824,3700000000,6103488746,5790489613
237,25165824,3700000000,6103939247,5790917016
238,25165824,3700000000,6103916347,5790895253
239,25165824,3700000000,6103838184,5790821099
245,26214400,3700000000,6357650614,6031617513
246,26214400,3700000000,6358418164,6032345697
247,26214400,3700000000,6357923836,6031876746
248,26214400,3700000000,6358154384,6032095472
249,26214400,3700000000,6358171115,6032111338
255,27262976,3700000000,6611960991,6272886374
256,27262976,3700000000,6612088036,6273006891
257,27262976,3700000000,6612843080,6273723183
258,27262976,3700000000,6612711171,6273598057
259,27262976,3700000000,6612196393,6273109672
265,28311552,3700000000,6866719237,6514580072
266,28311552,3700000000,6866831244,6514686336
267,28311552,3700000000,6866948714,6514797780
268,28311552,3700000000,6866454759,6514329139
269,28311552,3700000000,6867112523,6514953189
275,29360128,3700000000,7121231284,6756040205
276,29360128,3700000000,7121159996,6755972575
277,29360128,3700000000,7121374453,6756176039
278,29360128,3700000000,7120865524,6755693221
279,29360128,3700000000,7121020460,6755840206
285,30408704,3700000000,7375495800,6997265523
286,30408704,3700000000,7375048207,6996840887
287,30408704,3700000000,7375267275,6997048715
288,30408704,3700000000,7375058349,6996850513
289,30408704,3700000000,7375183506,6996969273
295,31457280,3700000000,7629531028,7238273305
296,31457280,3700000000,7630011508,7238729176
297,31457280,3700000000,7629405872,7238154545
298,31457280,3700000000,7628932007,7237705000
299,31457280,3700000000,7629778946,7238508504
305,32505856,3700000000,7884083299,7479771635
306,32505856,3700000000,7883857024,7479556947
307,32505856,3700000000,7883933665,7479629648
308,32505856,3700000000,7883797382,7479500375
309,32505856,3700000000,7883889517,7479587764
315,33554432,3700000000,8138134823,7720794863
316,33554432,3700000000,8138059781,7720723638
317,33554432,3700000000,8137986485,7720654130
318,33554432,3700000000,8137899270,7720571389
319,33554432,3700000000,8138191330,7720848466
325,34603008,3700000000,8392248239,7961876814
326,34603008,3700000000,8392311409,7961936748
327,34603008,3700000000,8392564415,7962176786
328,34603008,3700000000,8392264430,7961892182
329,34603008,3700000000,8392344612,7961968254
335,35651584,3700000000,8646672764,8203253947
336,35651584,3700000000,8646337953,8202936281
337,35651584,3700000000,8647132460,8203690045
338,35651584,3700000000,8647015890,8203579462
339,35651584,3700000000,8647214663,8203768035
345,36700160,3700000000,8901131218,8444663222
346,36700160,3700000000,8901501310,8445014323
347,36700160,3700000000,8901162266,8444692708
348,36700160,3700000000,8900834846,8444382040
349,36700160,3700000000,8900894266,8444438450
355,37748736,3700000000,9155646402,8686126355
356,37748736,3700000000,9155572144,8686055907
357,37748736,3700000000,9155970550,8686433884
358,37748736,3700000000,9155622379,8686103566
359,37748736,3700000000,9155768236,8686241943
365,38797312,3700000000,9409605620,8927062034
366,38797312,3700000000,9409825850,8927270980
367,38797312,3700000000,9410009558,8927445248
368,38797312,3700000000,9410332882,8927752001
369,38797312,3700000000,9409869355,8927312226
375,39845888,3700000000,9664200511,9168600792
376,39845888,3700000000,9664551300,9168933571
377,39845888,3700000000,9664444953,9168832671
378,39845888,3700000000,9663781310,9168203064
379,39845888,3700000000,9664130323,9168534201
385,40894464,3700000000,9918465629,9409826622
386,40894464,3700000000,9918595349,9409949738
387,40894464,3700000000,9918156315,9409533193
388,40894464,3700000000,9918711243,9410059659
389,40894464,3700000000,9918674686,9410024985
