workload_counter,input_len,max_freq,aperf,mperf
5,20971520,3700000000,67715655,64243602
6,20971520,3700000000,67824779,64347174
7,20971520,3700000000,67910769,64428722
8,20971520,3700000000,68155592,64660901
9,20971520,3700000000,66386628,62982865
