1048576|1705644900,1712353478,1729958562,1726433884,1721611580
2097152|2271907526,2269099204,2269100370,2266723098,2270442636
3145728|2827738968,2824143782,2827315548,2829319760,2829931824
4194304|3387899354,3384063380,3387780832,3380709848,3389055670
5242880|3947455960,3931307776,3932523204,3932036326,3929904418
6291456|4493720720,4485193976,4486835052,4506212746,4498230486
7340032|5047361148,5044985232,5053577020,5039503216,5033292368
8388608|5578641692,5576693932,5584370086,5585038972,5577911022
9437184|6150628458,6146542440,6144588944,6155924292,6147577924
10485760|6713100642,6715724492,6695796886,6689947722,6748440992
11534336|7258581292,7257722120,7267592732,7263330392,7294895150
12582912|7819832752,7782971354,7821969270,7814962106,7807223748
13631488|8365128520,8367509556,8342036658,8363361218,8359582124
14680064|8896592058,8889398480,8929917968,8932666366,8911890984
15728640|9478137708,9479053082,9506294478,9502083208,9494288346
16777216|10063710852,10033364604,10046772354,10062127994,10065784292
17825792|10606022708,10613514920,10614186864,10674324078,10592795796
18874368|11175990164,11164470846,11157893766,11165572640,11167827326
19922944|11735354998,11718300660,11717687726,11728107440,11728840916
20971520|12285648986,12280406816,12287109842,12309478794,12308866096
22020096|12865247376,12828749312,12832774358,12831739240,12825335730
23068672|13398600600,13363322684,13419925454,13465079654,13447954406
24117248|14029566888,13988985000,13968147696,13934696476,13952786196
25165824|14508562496,14535619408,14516975352,14541589940,14567548796
26214400|15127036828,15111313390,15150015510,15129109368,15102060926
27262976|15680622746,15697255276,15660997236,15625112968,15636382198
28311552|16167177134,16199529044,16188380338,16184049856,16200199586
29360128|16734643642,16812583360,16758170616,16744766008,16756217920
30408704|17296456286,17386512190,17325094074,17301384532,17310285370
31457280|17825842212,17789646906,17831998726,17810368346,17869105840
32505856|18406234072,18420922520,18416227532,18416165820,18405382576
33554432|18904553724,18928436674,18927706576,18969565156,18985046070
34603008|19510840822,19506085894,19500786272,19497735842,19492438624
35651584|20056618080,20078797784,20047970650,20039678428,20047602134
36700160|20595758512,20615439630,20521296746,20536531900,20575774958
37748736|21119480926,21137945386,21163169936,21192297588,21232087686
38797312|21751785608,21704930994,21710594442,21738077402,21725768158
39845888|22300497052,22304452842,22269785358,22261432578,22278746370
40894464|22950716914,22973203818,22843106646,22844994502,22812152398
