workload_counter,input_len,workload_cycles,avg_freq
5,1048576,1699190684,3053162347
6,1048576,1699192294,3002841978
7,1048576,1699253260,3127567266
8,1048576,1699254914,2947017666
9,1048576,1699250794,3147469994
15,2097152,2244482736,3003416463
16,2097152,2244548266,3056249695
17,2097152,2244424558,3056248692
18,2097152,2244485276,3077415773
19,2097152,2244726020,3045967505
25,3145728,2789717060,2940786149
26,3145728,2789958674,3045968013
27,3145728,2789897870,3031184007
28,3145728,2789898052,2969541662
29,3145728,2789898892,3003293285
35,4194304,3335070466,2964633493
36,4194304,3335497008,2970014489
37,4194304,3335317634,3000556280
38,4194304,3335498178,2981577553
39,4194304,3335923652,2958158821
45,5242880,3880609046,2942787625
46,5242880,3880790176,2947012677
47,5242880,3880609844,2937048515
48,5242880,3880728890,2945354710
49,5242880,3880180466,2945816834
55,6291456,4426147922,1976725196
56,6291456,4426209926,1966338392
57,6291456,4425721510,1995805672
58,6291456,4425474900,2018344142
59,6291456,4425722390,1980686725
65,7340032,4970952436,2067196668
66,7340032,4970766412,2104686842
67,7340032,4971317304,2107159910
68,7340032,4971197468,2111385213
69,7340032,4971133938,2111963227
75,8388608,5516734578,2185537644
76,8388608,5516490174,2154297004
77,8388608,5516304814,2146426734
78,8388608,5516304994,2189519762
79,8388608,5515878952,2196563441
85,9437184,6062149386,2328439939
86,9437184,6062147804,2507142636
87,9437184,6061420432,2522816821
88,9437184,6062207322,2531191486
89,9437184,6061414546,2316455050
95,10485760,6613902588,2483130772
96,10485760,6613781626,2528509507
97,10485760,6613963022,2552254259
98,10485760,6613478350,2579686843
99,10485760,6613475568,2579337528
105,11534336,7159321532,2538716080
106,11534336,7159197578,2340872953
107,11534336,7158829836,2411332890
108,11534336,7159195876,2634681354
109,11534336,7159013210,2383403287
115,12582912,7704670176,2568745040
116,12582912,7704852570,2381703946
117,12582912,7704548778,2374191049
118,12582912,7704670896,2396324331
119,12582912,7704670314,2374441701
125,13631488,8250331754,2563999215
126,13631488,8250577794,2485475838
127,13631488,8249599922,2573417105
128,13631488,8249170922,2516879084
129,13631488,8249236730,2698390990
135,14680064,8795141508,2462161268
136,14680064,8795380120,2534656306
137,14680064,8794709784,2437121799
138,14680064,8795014660,2492775815
139,14680064,8794829826,2470159019
145,15728640,9340552904,2206231987
146,15728640,9340979378,2132276104
147,15728640,9340733298,2159385438
148,15728640,9341039334,2175457223
149,15728640,9341588460,2067313591
155,16777216,9886821464,2062281766
156,16777216,9886213108,2193644211
157,16777216,9886333322,2138242324
158,16777216,9887000606,2139491102
159,16777216,9886087532,2080329812
165,17825792,10431687342,2074676471
166,17825792,10430169418,2229705064
167,17825792,10431138436,2266819089
168,17825792,10431690862,2180769284
169,17825792,10430958852,2221314350
175,18874368,10976859122,2201660008
176,18874368,10975885042,2287821129
177,18874368,10976797578,2255580025
178,18874368,10975643390,2260452535
179,18874368,10976739982,2345502321
185,19922944,11521178856,2193418901
186,19922944,11520875708,2362604314
187,19922944,11522763070,2234775395
188,19922944,11520448516,2331951109
189,19922944,11522096550,2309646776
195,20971520,12068541302,2280753402
196,20971520,12065866184,2322301549
197,20971520,12067752624,2207263664
198,20971520,12067385778,2303250435
199,20971520,12065928040,2382690555
205,22020096,12612743390,2334331586
206,22020096,12612559914,2430253797
207,22020096,12612680732,2452523505
208,22020096,12612923584,2277979796
209,22020096,12611402420,2373794266
215,23068672,13158951740,2426245241
216,23068672,13158709356,2244014155
217,23068672,13158523090,2414591545
218,23068672,13157851084,2307078007
219,23068672,13157731108,2359851678
225,24117248,13703879200,2372385587
226,24117248,13703147214,2340085334
227,24117248,13704181994,2465583594
228,24117248,13702538850,2337923538
229,24117248,13703512224,2490951879
235,25165824,14250454770,2122406235
236,25165824,14248440376,2042321422
237,25165824,14248990224,1989590403
238,25165824,14249780580,2010396879
239,25165824,14248559888,1994559221
245,26214400,14794468242,2056479378
246,26214400,14794340456,2052489367
247,26214400,14793125098,2041259908
248,26214400,14793431486,2050505375
249,26214400,14795198852,2123565990
255,27262976,15339517564,2098778684
256,27262976,15337383316,2055677160
257,27262976,15339028144,2092450124
258,27262976,15338539806,2098577392
259,27262976,15339027346,2135299324
265,28311552,15885480894,2175127109
266,28311552,15884565784,2098868816
267,28311552,15883712934,2125364356
268,28311552,15885236766,2144517293
269,28311552,15884927950,2133220352
275,29360128,16430711508,2103977643
276,29360128,16429556060,2255373488
277,29360128,16429372558,2238970087
278,29360128,16430590738,2209049249
279,29360128,16429067516,2226262334
285,30408704,16974784628,2181721134
286,30408704,16975515744,2245762784
287,30408704,16974965838,2255900544
288,30408704,16975334160,2250139318
289,30408704,16974422860,2285650911
295,31457280,17520934080,2293457410
296,31457280,17519776822,2241606715
297,31457280,17521603976,2272283861
298,31457280,17521052896,2322366710
299,31457280,17520625934,2161426782
305,32505856,18065558328,2273189188
306,32505856,18064035278,2287050830
307,32505856,18064278668,2328874285
308,32505856,18063973286,2178189087
309,32505856,18065066524,2207983901
315,33554432,18611032276,2032040404
316,33554432,18610300678,2056328551
317,33554432,18610488026,2088378294
318,33554432,18611706130,2142482753
319,33554432,18610603578,1959324144
325,34603008,19157303966,2046375870
326,34603008,19156142150,1996869383
327,34603008,19155654372,2025677174
328,34603008,19156813700,1991870346
329,34603008,19155718616,2018284875
