1048576|2934930298,3899999956,3900001257,3900000486,3899999819
2097152|3900000266,3900000494,3899999877,3900000314,3900000162
3145728|3900000709,3900001323,3899999884,3899999797,3900000304
4194304|3899999993,3900000385,3899999812,3900000315,3900000328
5242880|3900000891,3899999833,3900000143,3899999818,3900000331
6291456|2953007927,2951349077,2951668415,2955427614,2953883856
7340032|3049571450,3049198699,3050543577,3048338942,3047360876
8388608|3125369034,3125115566,3126112968,3126198781,3125274068
9437184|3193191991,3192749947,3192538797,3193764790,3192861930
10485760|3249223870,3249463923,3247633337,3247093747,3252449366
11534336|3295683237,3295615913,3296395611,3296059534,3298541614
12582912|3337036067,3334494590,3337182865,3336701596,3336169189
13631488|3372130249,3372274297,3370733254,3372023903,3371796036
14680064|3402365562,3401979418,3404146924,3404292614,3403184354
15728640|2963430505,2963517351,2966097233,2965699186,2964961728
16777216|3015932443,3013357091,3014496031,3015798652,3016108199
17825792|3059564735,3060137709,3060188493,3064757485,3058549386
18874368|3101008772,3100212141,3099755927,3100288372,3100444359
19922944|3137891759,3136817668,3136779360,3137435568,3137481609
20971520|3170998340,3170696138,3171082310,3172366631,3172331905
22020096|3202893261,3200967418,3201180359,3201125285,3200786290
23068672|3229872895,3228153169,3230908122,3233090013,3232264437
24117248|2938817878,2936103671,2934703759,2932448685,2933669927
25165824|2969736590,2971424602,2970262172,2971795480,2973407814
26214400|3006833890,3005927721,3008154828,3006953067,3005393246
27262976|3037982361,3038875557,3036928166,3034993882,3035602408
28311552|3063314796,3064947352,3064385222,3064166894,3064980523
29360128|3091042486,3094707633,3092151943,3091519815,3092060551
30408704|3116740448,3120708561,3118006406,3116958939,3117352489
31457280|3139504647,3137990211,3139761623,3138857801,3141306417
32505856|3162988236,3163564240,3163380109,3163377696,3162954845
33554432|2942698734,2943882003,2943846001,2945913874,2946676037
34603008|2971865584,2971643525,2971395798,2971252977,2971005982
35651584|2996640914,2997619556,2996258138,2995891781,2996241991
36700160|3019849396,3020676032,3016715685,3017358518,3019010945
37748736|3041280868,3042017980,3043021699,3044178136,3045753185
38797312|3065804599,3064035640,3064250188,3065288189,3064823542
39845888|3085978633,3086120107,3084874733,3084574533,3085196920
40894464|3108655979,3109417695,3104990843,3105055763,3103929933
