workload_counter,input_len,max_freq,aperf,mperf
0,1048576,3700000000,1099226438,1042856505
1,1048576,3700000000,3479548,3302107
2,1048576,3700000000,3423947,3249044
3,1048576,3700000000,3473799,3296265
4,1048576,3700000000,3440253,3264358
10,2097152,3700000000,7265000,6892931
11,2097152,3700000000,6964822,6608297
12,2097152,3700000000,6674418,6332673
13,2097152,3700000000,6880511,6527981
14,2097152,3700000000,6848288,6497750
20,3145728,3700000000,10746910,10196125
21,3145728,3700000000,10488582,9951590
22,3145728,3700000000,10509896,9971234
23,3145728,3700000000,10647111,10101368
24,3145728,3700000000,10087668,9570918
30,4194304,3700000000,13214856,12538049
31,4194304,3700000000,13754711,13049779
32,4194304,3700000000,13878885,13167675
33,4194304,3700000000,13742328,13038286
34,4194304,3700000000,13697335,12995210
40,5242880,3700000000,17124069,16246528
41,5242880,3700000000,16985048,16114288
42,5242880,3700000000,17155195,16275922
43,5242880,3700000000,17093791,16217484
44,5242880,3700000000,17261912,16377260
50,6291456,3700000000,19623565,18617509
51,6291456,3700000000,20566865,19512809
52,6291456,3700000000,19781427,18768179
53,6291456,3700000000,20500785,19449937
54,6291456,3700000000,19821308,18805433
60,7340032,3700000000,24109616,22873675
61,7340032,3700000000,24229847,22988139
62,7340032,3700000000,24080159,22845875
63,7340032,3700000000,24287619,23042543
64,7340032,3700000000,23925800,22699548
70,8388608,3700000000,26416515,25062118
71,8388608,3700000000,27507153,26097145
72,8388608,3700000000,27369526,25966546
73,8388608,3700000000,27599275,26184462
74,8388608,3700000000,26577159,25214497
80,9437184,3700000000,30939530,29353429
81,9437184,3700000000,30893885,29309844
82,9437184,3700000000,31004760,29415565
83,9437184,3700000000,31471169,29857907
84,9437184,3700000000,30845266,29263904
90,10485760,3700000000,32610222,30938213
91,10485760,3700000000,32396836,30735785
92,10485760,3700000000,32271412,30616908
93,10485760,3700000000,32273996,30619339
94,10485760,3700000000,32576352,30906224
100,11534336,3700000000,36799058,34912910
101,11534336,3700000000,36306267,34445179
102,11534336,3700000000,37655556,35725131
103,11534336,3700000000,36360281,34497097
104,11534336,3700000000,37305047,35392424
110,12582912,3700000000,41291347,39174440
111,12582912,3700000000,41111431,39003412
112,12582912,3700000000,40987461,38885973
113,12582912,3700000000,41093225,38986450
114,12582912,3700000000,41028321,38924834
120,13631488,3700000000,44452477,42173618
121,13631488,3700000000,44524272,42241429
122,13631488,3700000000,44723895,42430836
123,13631488,3700000000,44455815,42176306
124,13631488,3700000000,44426724,42149137
130,14680064,3700000000,46387297,44009002
131,14680064,3700000000,46956954,44549396
132,14680064,3700000000,47917662,45460794
133,14680064,3700000000,48150200,45681263
134,14680064,3700000000,47916055,45459281
140,15728640,3700000000,51330736,48698920
141,15728640,3700000000,51288205,48658585
142,15728640,3700000000,51312579,48681619
143,15728640,3700000000,51289205,48659588
144,15728640,3700000000,51304911,48674412
150,16777216,3700000000,54441537,51649970
151,16777216,3700000000,55330246,52493359
152,16777216,3700000000,54887968,52073691
153,16777216,3700000000,54719074,51913875
154,16777216,3700000000,55136156,52309114
160,17825792,3700000000,58046370,55070093
161,17825792,3700000000,58405970,55411267
162,17825792,3700000000,57932918,54962258
163,17825792,3700000000,58115867,55135832
164,17825792,3700000000,57944562,54973485
170,18874368,3700000000,61633136,58473009
171,18874368,3700000000,61633551,58473172
172,18874368,3700000000,61645958,58485302
173,18874368,3700000000,62114804,58929951
174,18874368,3700000000,61487057,58334569
180,19922944,3700000000,65477377,62119822
181,19922944,3700000000,65088196,61750834
182,19922944,3700000000,65057894,61722186
183,19922944,3700000000,64965271,61634310
184,19922944,3700000000,65130397,61790969
190,20971520,3700000000,66040903,62654755
191,20971520,3700000000,68905348,65372198
192,20971520,3700000000,65766202,62394136
193,20971520,3700000000,67454465,63995743
194,20971520,3700000000,67085820,63646056
200,22020096,3700000000,68475274,64964162
201,22020096,3700000000,68108664,64616196
202,22020096,3700000000,69310734,65756838
203,22020096,3700000000,72116085,68418515
204,22020096,3700000000,71804974,68123159
210,23068672,3700000000,74634218,70807395
211,23068672,3700000000,75353833,71490276
212,23068672,3700000000,75104761,71253754
213,23068672,3700000000,75486844,71616158
214,23068672,3700000000,76101724,72199891
220,24117248,3700000000,78970861,74921572
221,24117248,3700000000,79143413,75085384
222,24117248,3700000000,78747073,74709880
223,24117248,3700000000,78861993,74818219
224,24117248,3700000000,78695712,74660503
230,25165824,3700000000,82207087,77991847
231,25165824,3700000000,81889029,77690274
232,25165824,3700000000,82267789,78049434
233,25165824,3700000000,82252977,78035319
234,25165824,3700000000,82508267,78277650
240,26214400,3700000000,85848100,81446351
241,26214400,3700000000,85742350,81345998
242,26214400,3700000000,85881458,81477872
243,26214400,3700000000,84695709,80352894
244,26214400,3700000000,85675945,81282857
250,27262976,3700000000,89225847,84650811
251,27262976,3700000000,88757691,84206563
252,27262976,3700000000,88911840,84352823
253,27262976,3700000000,89267442,84690288
254,27262976,3700000000,88789478,84236444
260,28311552,3700000000,90308427,85677765
261,28311552,3700000000,90726801,86074426
262,28311552,3700000000,92472531,87730939
263,28311552,3700000000,90902897,86241778
264,28311552,3700000000,91315991,86633736
270,29360128,3700000000,96193406,91260911
271,29360128,3700000000,94418942,89577441
272,29360128,3700000000,96171427,91240003
273,29360128,3700000000,95486403,90590202
274,29360128,3700000000,95727766,90819203
280,30408704,3700000000,99719873,94606562
281,30408704,3700000000,99558521,94453519
282,30408704,3700000000,99152037,94067821
283,30408704,3700000000,99565198,94459562
284,30408704,3700000000,99702574,94589932
290,31457280,3700000000,96907269,91938116
291,31457280,3700000000,100731970,95566711
292,31457280,3700000000,102743054,97474682
293,31457280,3700000000,102655498,97391572
294,31457280,3700000000,102878780,97603218
300,32505856,3700000000,103065259,97780359
301,32505856,3700000000,103250345,97955899
302,32505856,3700000000,103576688,98265527
303,32505856,3700000000,106003165,100567583
304,32505856,3700000000,105657342,100239554
310,33554432,3700000000,109898584,104263303
311,33554432,3700000000,109640559,104018278
312,33554432,3700000000,109446464,103834317
313,33554432,3700000000,109264392,103661770
314,33554432,3700000000,109895325,104260107
320,34603008,3700000000,113145603,107343572
321,34603008,3700000000,112590853,106817496
322,34603008,3700000000,112999782,107205458
323,34603008,3700000000,112781744,106998645
324,34603008,3700000000,113556040,107733099
330,35651584,3700000000,114583838,108708836
331,35651584,3700000000,116829424,110838438
332,35651584,3700000000,112366262,106604355
333,35651584,3700000000,116266551,110304805
334,35651584,3700000000,112177419,106427177
340,36700160,3700000000,119290700,113173845
341,36700160,3700000000,120118900,113959511
342,36700160,3700000000,119702814,113564786
343,36700160,3700000000,119762679,113621606
344,36700160,3700000000,120061938,113905403
350,37748736,3700000000,123035461,116726516
351,37748736,3700000000,122444359,116165662
352,37748736,3700000000,123139329,116825014
353,37748736,3700000000,123009504,116701990
354,37748736,3700000000,124030419,117670427
360,38797312,3700000000,126826608,120323357
361,38797312,3700000000,126767289,120267023
362,38797312,3700000000,126519502,120031791
363,38797312,3700000000,126472236,119986983
364,38797312,3700000000,126777046,120276278
370,39845888,3700000000,130278605,123598126
371,39845888,3700000000,125023672,118612670
372,39845888,3700000000,123096610,116784377
373,39845888,3700000000,122596190,116309518
374,39845888,3700000000,129304512,122674651
380,40894464,3700000000,133009598,126189147
381,40894464,3700000000,133332565,126495482
382,40894464,3700000000,133480865,126635958
383,40894464,3700000000,133485607,126641438
384,40894464,3700000000,132845995,126033864
