workload_counter,input_len,workload_cycles,avg_freq
0,1048576,561080090,2925688613
1,1048576,564995172,3900000190
2,1048576,591908856,3900002497
3,1048576,579089562,3900000461
4,1048576,577450338,3900004669
10,2097152,866546260,3900000265
11,2097152,871122500,3899997574
12,2097152,871597562,3899999456
13,2097152,865873436,3899999750
14,2097152,867737944,3899999466
20,3145728,1173629328,3900000096
21,3145728,1168643590,3899999924
22,3145728,1155881944,3899999878
23,3145728,1156483428,3900000331
24,3145728,1166126946,3900000200
30,4194304,1457496496,3900000279
31,4194304,1453895304,3900000191
32,4194304,1454423818,3899999120
33,4194304,1465086520,3899999555
34,4194304,1466265480,3899999854
40,5242880,1748048764,3899999889
41,5242880,1755664688,3900000288
42,5242880,1755290956,3899999775
43,5242880,1751480244,3900000104
44,5242880,1744872922,3899999781
50,6291456,2050832634,3899999914
51,6291456,2072186844,3899999816
52,6291456,2113494758,3899999844
53,6291456,2033532106,3899999755
54,6291456,2028043422,3899999788
60,7340032,2316957218,3899999780
61,7340032,2315461134,3899999425
62,7340032,2336118380,3899999464
63,7340032,2329410724,3899999873
64,7340032,2322649356,3899999763
70,8388608,2619337630,2928957480
71,8388608,2661860802,3900001103
72,8388608,2641497856,3899999505
73,8388608,2632282550,3899999821
74,8388608,2601522518,3899999443
80,9437184,2919409520,3900000117
81,9437184,2923126878,3899999422
82,9437184,2931433132,3899999863
83,9437184,2947066178,3899999763
84,9437184,2922137310,3900000763
90,10485760,3207940794,3899999768
91,10485760,3182074472,3900000030
92,10485760,3216722786,3899997587
93,10485760,3181577940,3900000537
94,10485760,3186282418,3900000011
100,11534336,3491886454,3899999809
101,11534336,3477627152,3899999934
102,11534336,3481073274,3900000238
103,11534336,3469359480,3899999712
104,11534336,3461571486,3900000296
110,12582912,3787380418,3899999960
111,12582912,3799985352,3899999398
112,12582912,3817214192,3899999771
113,12582912,3805863984,3899999854
114,12582912,3812857264,3899999870
120,13631488,4115835266,3900000065
121,13631488,4083579144,3899999913
122,13631488,4095607106,3899999539
123,13631488,4083469772,3899999514
124,13631488,4113611478,3899999713
130,14680064,4349433776,3900000580
131,14680064,4377909212,2929967438
132,14680064,4344709826,3899999845
133,14680064,4460789370,2946568562
134,14680064,4354267220,2925125662
140,15728640,4662561354,2984701739
141,15728640,4668554884,2985788027
142,15728640,4721993440,2995359170
143,15728640,4666109836,2985346255
144,15728640,4706420318,2992592062
150,16777216,5027726208,3046483894
151,16777216,4996764258,3041570933
152,16777216,4942722630,3032859321
153,16777216,4916194326,3028518259
154,16777216,4993009052,3040971040
160,17825792,5250355288,3080219598
161,17825792,5256250466,3081077507
162,17825792,5246480008,3079655643
163,17825792,5250152170,3080190219
164,17825792,5285941452,3085366381
170,18874368,5468836806,3110830915
171,18874368,5509266782,3116246589
172,18874368,5531382742,3119178086
173,18874368,5511565812,3116552243
174,18874368,5530011316,3118996897
180,19922944,5758414436,3148046735
181,19922944,5755399184,3147677941
182,19922944,5843626132,3158339449
183,19922944,5864339374,3160798143
184,19922944,5837941662,3157660066
190,20971520,6075098376,3184924536
191,20971520,6148122306,3192921574
192,20971520,6141750182,3192230274
193,20971520,6152715342,3193418060
194,20971520,6223001818,3200936774
200,22020096,6464927676,3225636456
201,22020096,6401432756,3219323326
202,22020096,6468531012,3225990964
203,22020096,6467045408,3225845192
204,22020096,6403512710,3219533056
210,23068672,6781901464,3255471018
211,23068672,6748372762,3252443061
212,23068672,6759199392,3253424723
213,23068672,6789159126,3256125901
214,23068672,6798547564,3256967577
220,24117248,7030746192,3277109402
221,24117248,7034588450,3277432278
222,24117248,7057949168,3279387841
223,24117248,7028774332,3276944162
224,24117248,7129097468,3285265634
230,25165824,7286518196,3297884637
231,25165824,7298035208,3298789250
232,25165824,7417683420,3308008936
233,25165824,7332792950,3301496302
234,25165824,7342976210,3302284048
240,26214400,7610316096,3322278121
241,26214400,7626223072,3323425902
242,26214400,7644798680,3324760111
243,26214400,7633181402,3323926204
244,26214400,7657827762,3325692666
250,27262976,7916048494,3344020360
251,27262976,7916319222,3344038537
252,27262976,7934330644,3345241896
253,27262976,7939961022,3345616702
254,27262976,7913503288,3343850195
