1048576|3106002473,3119406540,2956571141,2944133487,2989481415
2097152|3061115198,3043211843,3049837143,3076763393,2988528823
3145728|3018559130,2941355132,2992595429,3008238364,2989849808
4194304|3004719311,2988776196,2961319718,2925489619,2993265362
5242880|2926218407,2939655406,2926500869,2978661741,2938613222
6291456|2946501702,2989074897,2946865664,2938673268,2946471663
7340032|2939996401,2969366077,2933946481,2987404447,2985876253
8388608|2932671167,2960775743,2967063901,2935747568,2928148016
9437184|3092726768,2934217102,2978645610,2994031946,2992522827
10485760|3144212042,2943558288,2996187325,3008458589,3200524158
11534336|3161630922,3021835782,3224174323,2996395600,2956297461
12582912|3017838529,3021222893,2989804745,3058153069,3013098758
13631488|3031807311,3057801280,3097525698,3015191283,2979699619
14680064|3159444083,3090765254,3036002764,3061952614,2986015007
15728640|2019058828,2152937115,2184606684,2088533927,2091398960
16777216|2078364298,2135738741,2218401671,2134511560,2110418352
17825792|2160399122,2215885041,2214185648,2285259590,2187759841
18874368|2157519392,2252899894,2321711690,2314886224,2283283378
19922944|2197905624,2344310061,2374096021,2378306100,2312607185
20971520|2350063376,2206780765,2397283153,2385449077,2238062661
22020096|2340145197,2237652954,2428239340,2405445740,2277048780
23068672|2420176285,2281342808,2259996386,2239839528,2343303454
24117248|2437112351,2380137992,2440408519,2388684496,2344831962
25165824|2287878805,2343304821,2444446343,2406607065,2392773482
26214400|2347220783,2409296093,2394043836,2426833830,2421065816
27262976|2465327936,2486119480,2436794732,2564549347,2349469773
28311552|2409691867,2358454475,2460407432,2498826894,2448583440
29360128|2428882864,2518149591,2517915922,2515043172,2501636931
30408704|2503343576,2399648981,2582922762,2513312754,2430095093
31457280|2562804126,2598025828,2555516374,2417560719,2487000366
32505856|2445794677,2613475051,2598305646,2579726264,2501409203
33554432|2486128892,2462370127,2569179016,2558475333,2630751985
34603008|2054030079,2032505978,2096888808,2025743001,1992356222
35651584|2047524463,2059463271,2096442591,2124187040,2037054766
36700160|2051023520,2173452294,2118857065,2143136147,2067704802
37748736|2061452060,2215303330,2228278259,2125296009,2202182106
38797312|2128214179,2168166816,2138072913,2162468713,2124198364
39845888|2159250076,2200538077,2194055807,2227264192,2216199206
40894464|2154722278,2116869737,2117413021,2197390301,2256570765
