workload_counter,input_len,workload_cycles
0,1048576,8474520
1,1048576,8467854
2,1048576,8484706
3,1048576,8465738
4,1048576,8465840
10,2097152,17011674
11,2097152,17007462
12,2097152,16992182
13,2097152,16978654
14,2097152,16990196
20,3145728,25519678
21,3145728,25561434
22,3145728,25514328
23,3145728,25569212
24,3145728,25547200
30,4194304,34114130
31,4194304,34132648
32,4194304,34123384
33,4194304,34144874
34,4194304,34127192
40,5242880,42892328
41,5242880,42846904
42,5242880,42760158
43,5242880,42852522
44,5242880,42775950
50,6291456,75806634
51,6291456,64638598
52,6291456,64607086
53,6291456,64563346
54,6291456,73308686
60,7340032,73621640
61,7340032,74771974
62,7340032,73642254
63,7340032,73945918
64,7340032,73972384
70,8388608,83866476
71,8388608,83135808
72,8388608,82785392
73,8388608,82772714
74,8388608,82945260
80,9437184,122224048
81,9437184,109203822
82,9437184,115923126
83,9437184,92273142
84,9437184,91942908
90,10485760,117372794
91,10485760,101384926
92,10485760,101497512
93,10485760,101661000
94,10485760,111418574
100,11534336,113189626
101,11534336,114380596
102,11534336,114389438
103,11534336,112897932
104,11534336,112536754
110,12582912,157766754
111,12582912,179229966
112,12582912,164348326
113,12582912,154998808
114,12582912,179000064
120,13631488,226356120
121,13631488,593274872
122,13631488,243043252
123,13631488,223333948
124,13631488,223489806
130,14680064,295921532
131,14680064,300255028
132,14680064,293282128
133,14680064,300207396
134,14680064,274699506
140,15728640,336814302
141,15728640,338202790
142,15728640,315297686
143,15728640,342593752
144,15728640,314676552
150,16777216,350033302
151,16777216,355084840
152,16777216,349235310
153,16777216,349067588
154,16777216,355617406
160,17825792,382388342
161,17825792,391721070
162,17825792,382180766
163,17825792,389506158
164,17825792,382046422
170,18874368,414369936
171,18874368,415206752
172,18874368,414303966
173,18874368,415475776
174,18874368,414079544
180,19922944,447484554
181,19922944,452431020
182,19922944,445274468
183,19922944,445280312
184,19922944,448995078
190,20971520,480020844
191,20971520,476272686
192,20971520,480398754
193,20971520,476075500
194,20971520,481521360
200,22020096,506435200
201,22020096,508304972
202,22020096,505932278
203,22020096,510161046
204,22020096,505965094
210,23068672,538825622
211,23068672,536122246
212,23068672,540560628
213,23068672,537861702
214,23068672,541074272
220,24117248,586506088
221,24117248,579107004
222,24117248,589455010
223,24117248,566389024
224,24117248,574075914
230,25165824,595744626
231,25165824,596761246
232,25165824,596049410
233,25165824,595447152
234,25165824,600169746
240,26214400,625205898
241,26214400,630267918
242,26214400,625505770
243,26214400,625466746
244,26214400,625341056
250,27262976,663620102
251,27262976,654724446
252,27262976,654511250
253,27262976,661670702
254,27262976,654895148
260,28311552,687515666
261,28311552,687098574
262,28311552,689890208
263,28311552,683974518
264,28311552,691159802
270,29360128,716718530
271,29360128,713859056
272,29360128,714311072
273,29360128,713585762
274,29360128,713953338
280,30408704,743756834
281,30408704,743639606
282,30408704,747094810
283,30408704,743062200
284,30408704,742682688
290,31457280,787569276
291,31457280,787313140
292,31457280,795888102
293,31457280,801380502
294,31457280,796418814
300,32505856,821088934
301,32505856,804245792
302,32505856,810796738
303,32505856,810577212
304,32505856,886476332
310,33554432,832279468
311,33554432,836836190
312,33554432,836220342
313,33554432,837401612
314,33554432,834210818
320,34603008,865660988
321,34603008,858909798
322,34603008,860123296
323,34603008,867261714
324,34603008,866152116
330,35651584,903239364
331,35651584,909894120
332,35651584,889190360
333,35651584,918886914
334,35651584,933218964
340,36700160,922970852
341,36700160,919682798
342,36700160,924265596
343,36700160,917648936
344,36700160,916967020
350,37748736,948258128
351,37748736,947271438
352,37748736,946786240
353,37748736,946463074
354,37748736,952895298
360,38797312,982812012
361,38797312,982275278
362,38797312,980402874
363,38797312,974695826
364,38797312,977232010
370,39845888,1009680422
371,39845888,1007107484
372,39845888,1003746868
373,39845888,1004714168
374,39845888,1007667370
380,40894464,1041005322
381,40894464,1038530146
382,40894464,1033818516
383,40894464,1032731396
384,40894464,1032402334
