workload_counter,input_len,workload_cycles
5,1048576,8464590
6,1048576,8453504
7,1048576,8457714
8,1048576,8452352
9,1048576,8454768
15,2097152,16972198
16,2097152,16962760
17,2097152,16970256
18,2097152,17038008
19,2097152,16997044
25,3145728,25464676
26,3145728,25531488
27,3145728,25588680
28,3145728,25551852
29,3145728,25605304
35,4194304,33965794
36,4194304,34159362
37,4194304,34136020
38,4194304,34138554
39,4194304,34060604
45,5242880,42630738
46,5242880,42889316
47,5242880,42714262
48,5242880,42828644
49,5242880,42823272
55,6291456,68124946
56,6291456,67374970
57,6291456,67199610
58,6291456,67236526
59,6291456,68086390
65,7340032,76292950
66,7340032,76599920
67,7340032,78393262
68,7340032,77521292
69,7340032,78205022
75,8388608,87752178
76,8388608,87858764
77,8388608,86928114
78,8388608,86880336
79,8388608,86550094
85,9437184,97446942
86,9437184,96465440
87,9437184,97298806
88,9437184,98805872
89,9437184,98610826
95,10485760,109007758
96,10485760,107317002
97,10485760,106700350
98,10485760,105991952
99,10485760,109430920
105,11534336,122325406
106,11534336,122193374
107,11534336,123072946
108,11534336,123432886
109,11534336,120970004
115,12582912,176027682
116,12582912,170822776
117,12582912,169366690
118,12582912,171222980
119,12582912,170930018
125,13631488,235949434
126,13631488,237184782
127,13631488,232505746
128,13631488,237715490
129,13631488,234529276
135,14680064,282449324
136,14680064,283886012
137,14680064,281025046
138,14680064,282475246
139,14680064,279858056
145,15728640,318295114
146,15728640,319935998
147,15728640,319434798
148,15728640,318712690
149,15728640,320644620
155,16777216,355652750
156,16777216,355318832
157,16777216,353722206
158,16777216,354168190
159,16777216,354144202
165,17825792,387271816
166,17825792,385705866
167,17825792,385603630
168,17825792,387619306
169,17825792,386831390
175,18874368,417798798
176,18874368,417856764
177,18874368,418878272
178,18874368,418059358
179,18874368,418208642
185,19922944,450059240
186,19922944,449456116
187,19922944,449853952
188,19922944,450474848
189,19922944,448969340
195,20971520,479615478
196,20971520,479693288
197,20971520,479999568
198,20971520,479984020
199,20971520,480321312
205,22020096,509927570
206,22020096,510925386
207,22020096,510029422
208,22020096,510059586
209,22020096,511085668
215,23068672,539714552
216,23068672,540117756
217,23068672,540062468
218,23068672,540771958
219,23068672,540067654
225,24117248,569710084
226,24117248,571071060
227,24117248,569727504
228,24117248,570063450
229,24117248,570363838
235,25165824,600575694
236,25165824,599272306
237,25165824,599798130
238,25165824,600532474
239,25165824,599195180
245,26214400,630494322
246,26214400,628294860
247,26214400,629223390
248,26214400,629302398
249,26214400,629852630
255,27262976,658073156
256,27262976,658957582
257,27262976,659336214
258,27262976,658126678
259,27262976,659537684
265,28311552,688951940
266,28311552,688301134
267,28311552,689127644
268,28311552,687668834
269,28311552,688367464
275,29360128,718127064
276,29360128,718112000
277,29360128,717950638
278,29360128,717980446
279,29360128,718554892
285,30408704,747748892
286,30408704,746876070
287,30408704,747405710
288,30408704,746173478
289,30408704,748225492
295,31457280,776172738
296,31457280,776317454
297,31457280,777044244
298,31457280,776594866
299,31457280,777300024
305,32505856,805787120
306,32505856,805330408
307,32505856,806529652
308,32505856,805584664
309,32505856,804443740
315,33554432,834859308
316,33554432,834857594
317,33554432,834966600
318,33554432,834330892
319,33554432,834289418
325,34603008,864167588
326,34603008,863564844
327,34603008,863360574
328,34603008,864316840
329,34603008,864557732
335,35651584,893305394
336,35651584,892696808
337,35651584,892110418
338,35651584,893077578
339,35651584,893202772
345,36700160,922503376
346,36700160,921850444
347,36700160,920843342
348,36700160,920834286
349,36700160,922191310
355,37748736,951744338
356,37748736,951395750
357,37748736,951439864
358,37748736,950875946
359,37748736,951642942
365,38797312,980025708
366,38797312,980305484
367,38797312,979770314
368,38797312,980279352
369,38797312,979656988
375,39845888,1009554230
376,39845888,1009463528
377,39845888,1009337528
378,39845888,1009699982
379,39845888,1008920970
385,40894464,1038510070
386,40894464,1037841348
387,40894464,1037584998
388,40894464,1038555858
389,40894464,1038090586
