workload_counter,input_len,workload_cycles
0,1048576,8986336
1,1048576,9041452
2,1048576,8983312
3,1048576,8961270
4,1048576,8945314
10,2097152,18254988
11,2097152,18716824
12,2097152,18679584
13,2097152,18844178
14,2097152,18681664
20,3145728,46988598
21,3145728,52658684
22,3145728,57825140
23,3145728,48232606
24,3145728,51561862
30,4194304,140234330
31,4194304,143395320
32,4194304,142610078
33,4194304,143632416
34,4194304,140973392
40,5242880,196853294
41,5242880,196626344
42,5242880,196269324
43,5242880,198338620
44,5242880,198379386
50,6291456,235886082
51,6291456,251911188
52,6291456,251447458
53,6291456,239934720
54,6291456,251014430
60,7340032,299712408
61,7340032,293628446
62,7340032,299662098
63,7340032,299560822
64,7340032,299414802
70,8388608,323097502
71,8388608,325071418
72,8388608,349171278
73,8388608,349137722
74,8388608,340762796
80,9437184,382970686
81,9437184,308297580
82,9437184,349950248
83,9437184,391210250
84,9437184,399609516
90,10485760,450141340
91,10485760,445840386
92,10485760,450228884
93,10485760,449768680
94,10485760,450273782
100,11534336,500507556
101,11534336,499822204
102,11534336,500528430
103,11534336,500474604
104,11534336,501105348
110,12582912,516364788
111,12582912,512861926
112,12582912,524510382
113,12582912,512928592
114,12582912,545642186
120,13631488,601780964
121,13631488,599358706
122,13631488,602850724
123,13631488,603249302
124,13631488,603202836
130,14680064,654072146
131,14680064,645662774
132,14680064,653879820
133,14680064,648352738
134,14680064,654388084
140,15728640,702513138
141,15728640,705293970
142,15728640,698193528
143,15728640,704925688
144,15728640,697281126
150,16777216,756713522
151,16777216,755225492
152,16777216,748114026
153,16777216,756523822
154,16777216,742408588
160,17825792,806103530
161,17825792,803281118
162,17825792,807849960
163,17825792,799600514
164,17825792,745541126
170,18874368,584069248
171,18874368,886283238
172,18874368,857884336
173,18874368,850901216
174,18874368,852024402
180,19922944,907361446
181,19922944,910270112
182,19922944,909882752
183,19922944,907976886
184,19922944,904166996
190,20971520,960207050
191,20971520,955355982
192,20971520,960814968
193,20971520,960014434
194,20971520,956022224
200,22020096,1013396628
201,22020096,1012457940
202,22020096,1009706198
203,22020096,1003134018
204,22020096,1012453514
210,23068672,1058234478
211,23068672,1061366988
212,23068672,1059075494
213,23068672,1047412924
214,23068672,1058074796
220,24117248,1109073814
221,24117248,1112826190
222,24117248,1115439782
223,24117248,1108789914
224,24117248,1114334622
230,25165824,1164070856
231,25165824,1164451542
232,25165824,1164438272
233,25165824,1165877616
234,25165824,1165522764
240,26214400,1216496422
241,26214400,1215616886
242,26214400,932049074
243,26214400,1174322896
244,26214400,1207913646
250,27262976,1265752508
251,27262976,1264949212
252,27262976,1262287912
253,27262976,1254518174
254,27262976,1250755196
260,28311552,1303623710
261,28311552,1315111916
262,28311552,1317218554
263,28311552,1317506498
264,28311552,1317734176
270,29360128,1253658238
271,29360128,1316318014
272,29360128,1273134666
273,29360128,1249463844
274,29360128,1342900924
280,30408704,1394116376
281,30408704,1323013402
282,30408704,1408117436
283,30408704,1408981988
284,30408704,1405577316
290,31457280,1467375590
291,31457280,1464317056
292,31457280,1459246130
293,31457280,1462259470
294,31457280,1450582278
300,32505856,1516744890
301,32505856,1516218548
302,32505856,1508143884
303,32505856,1510776582
304,32505856,1518306254
310,33554432,1566839916
311,33554432,1105663652
312,33554432,1596707514
313,33554432,1566486822
314,33554432,1555390970
320,34603008,1616564308
321,34603008,1615874200
322,34603008,1614537822
323,34603008,1619164536
324,34603008,1607331486
330,35651584,1662957658
331,35651584,1644034952
332,35651584,1657111372
333,35651584,1597944846
334,35651584,1647367922
340,36700160,1612160814
341,36700160,1572940786
342,36700160,1511007378
343,36700160,1606938654
344,36700160,1710541208
350,37748736,1574212882
351,37748736,1569818686
352,37748736,1723370642
353,37748736,1772446212
354,37748736,1763843784
360,38797312,1810639084
361,38797312,1809049936
362,38797312,1814233356
363,38797312,1805714076
364,38797312,1812929440
370,39845888,1860060492
371,39845888,1812025000
372,39845888,1352275794
373,39845888,1740579056
374,39845888,1866688548
380,40894464,1916134988
381,40894464,1916131754
382,40894464,1904149242
383,40894464,1915270156
384,40894464,1901409282
