workload_counter,input_len,max_freq,aperf,mperf
5,20971520,3700000000,977470610,927344378
6,20971520,3700000000,979364676,929141708
7,20971520,3700000000,979400210,929175074
8,20971520,3700000000,978393121,928220154
9,20971520,3700000000,980919498,930616485
