workload_counter,input_len,workload_cycles
5,1048576,241594704
6,1048576,241621402
7,1048576,241643160
8,1048576,241587784
9,1048576,241553998
15,2097152,483165342
16,2097152,483236424
17,2097152,483221628
18,2097152,483276086
19,2097152,483202118
25,3145728,724661778
26,3145728,724757164
27,3145728,725007306
28,3145728,724840828
29,3145728,724706588
35,4194304,966309872
36,4194304,966394560
37,4194304,966409146
38,4194304,966332230
39,4194304,966358552
45,5242880,1208090910
46,5242880,1207842850
47,5242880,1208070758
48,5242880,1207969606
49,5242880,1208099224
55,6291456,1449348614
56,6291456,1449738696
57,6291456,1449612088
58,6291456,1449519628
59,6291456,1449767046
65,7340032,1691241228
66,7340032,1691190926
67,7340032,1690926572
68,7340032,1691254606
69,7340032,1691127750
75,8388608,1932547858
76,8388608,1932745032
77,8388608,1932869290
78,8388608,1932930122
79,8388608,1932629644
85,9437184,2174260478
86,9437184,2174460086
87,9437184,2174250036
88,9437184,2174445240
89,9437184,2174410182
95,10485760,2415890992
96,10485760,2416005466
97,10485760,2415735318
98,10485760,2415920270
99,10485760,2416021970
105,11534336,2657386236
106,11534336,2657596022
107,11534336,2657473802
108,11534336,2657671830
109,11534336,2657283374
115,12582912,2899081040
116,12582912,2899171598
117,12582912,2899371598
118,12582912,2899009548
119,12582912,2899076184
125,13631488,3140879826
126,13631488,3140951912
127,13631488,3140544338
128,13631488,3140734308
129,13631488,3140624700
135,14680064,3382400684
136,14680064,3382318628
137,14680064,3382028860
138,14680064,3382414800
139,14680064,3382431712
145,15728640,3623708204
146,15728640,3623606778
147,15728640,3623627690
148,15728640,3623634972
149,15728640,3624084048
155,16777216,3865650746
156,16777216,3865540308
157,16777216,3865516898
158,16777216,3865519768
159,16777216,3865613970
165,17825792,4106947642
166,17825792,4107169700
167,17825792,4106791720
168,17825792,4106987532
169,17825792,4107062282
175,18874368,4348911930
176,18874368,4348194810
177,18874368,4348944894
178,18874368,4348698788
179,18874368,4348439414
185,19922944,4590122104
186,19922944,4589886272
187,19922944,4590019248
188,19922944,4590531480
189,19922944,4590164162
195,20971520,4831805072
196,20971520,4831629370
197,20971520,4831502202
198,20971520,4831666278
199,20971520,4831813918
205,22020096,5073510012
206,22020096,5073277482
207,22020096,5073791372
208,22020096,5073292320
209,22020096,5072994670
215,23068672,5315120642
216,23068672,5314750242
217,23068672,5314858316
218,23068672,5315079902
219,23068672,5314471482
225,24117248,5556597974
226,24117248,5556287970
227,24117248,5556609990
228,24117248,5556469896
229,24117248,5556690594
235,25165824,5797757726
236,25165824,5797873710
237,25165824,5798054498
238,25165824,5797988850
239,25165824,5798362640
245,26214400,6039435196
246,26214400,6040006504
247,26214400,6039246826
248,26214400,6039444872
249,26214400,6039566916
255,27262976,6281553122
256,27262976,6281533394
257,27262976,6281414086
258,27262976,6281319684
259,27262976,6281434904
265,28311552,6522789972
266,28311552,6523325288
267,28311552,6523116742
268,28311552,6522650036
269,28311552,6522437822
275,29360128,6764333802
276,29360128,6764214640
277,29360128,6764564672
278,29360128,6764468638
279,29360128,6764736020
285,30408704,7006432488
286,30408704,7006531576
287,30408704,7006406714
288,30408704,7006419862
289,30408704,7006004580
295,31457280,7248082340
296,31457280,7247521460
297,31457280,7247729072
298,31457280,7247423452
299,31457280,7247740812
305,32505856,7489459798
306,32505856,7489316076
307,32505856,7489259628
308,32505856,7488655540
309,32505856,7489228388
315,33554432,7730765374
316,33554432,7730767348
317,33554432,7731160756
318,33554432,7730663742
319,33554432,7730995858
325,34603008,7972528908
326,34603008,7972046766
327,34603008,7972193386
328,34603008,7972828046
329,34603008,7972310154
335,35651584,8214095264
336,35651584,8213537236
337,35651584,8214077424
338,35651584,8213800352
339,35651584,8214190652
345,36700160,8455256970
346,36700160,8455606754
347,36700160,8455296810
348,36700160,8455245808
349,36700160,8455353468
355,37748736,8697460322
356,37748736,8696914094
357,37748736,8697171286
358,37748736,8698083444
359,37748736,8697288810
365,38797312,8939339010
366,38797312,8938684902
367,38797312,8938915886
368,38797312,8938476556
369,38797312,8938642392
375,39845888,9180053218
376,39845888,9180505306
377,39845888,9180304854
378,39845888,9180635704
379,39845888,9180372978
385,40894464,9421969576
386,40894464,9421584386
387,40894464,9422088484
388,40894464,9421956970
389,40894464,9421742358
