workload_counter,input_len,workload_cycles
0,1048576,241919404
1,1048576,241924628
2,1048576,241883504
3,1048576,241960234
4,1048576,241892818
10,2097152,483734616
11,2097152,483912810
12,2097152,483870856
13,2097152,483908038
14,2097152,483927324
20,3145728,725402206
21,3145728,725682530
22,3145728,725840430
23,3145728,725741252
24,3145728,725440070
30,4194304,967784012
31,4194304,967349620
32,4194304,967314844
33,4194304,967465886
34,4194304,967382440
40,5242880,1209259744
41,5242880,1209203932
42,5242880,1209246572
43,5242880,1209449040
44,5242880,1209414550
50,6291456,1451148862
51,6291456,1451303700
52,6291456,1451264902
53,6291456,1451329750
54,6291456,1451315578
60,7340032,1692637700
61,7340032,1693198408
62,7340032,1693193032
63,7340032,1693265716
64,7340032,1693271572
70,8388608,1936604106
71,8388608,1935506426
72,8388608,1935530058
73,8388608,1935094064
74,8388608,1935439612
80,9437184,2176722834
81,9437184,2176966718
82,9437184,2176984104
83,9437184,2177123664
84,9437184,2177059548
90,10485760,2418687180
91,10485760,2418280534
92,10485760,2418259384
93,10485760,2418132254
94,10485760,2418283030
100,11534336,2660397404
101,11534336,2660804124
102,11534336,2661570110
103,11534336,2661937506
104,11534336,2661407314
110,12582912,2904167416
111,12582912,2903340938
112,12582912,2902707774
113,12582912,2903597984
114,12582912,2902294666
120,13631488,3145612766
121,13631488,3145098158
122,13631488,3145357112
123,13631488,3144882318
124,13631488,3144982352
130,14680064,3387486454
131,14680064,3387263394
132,14680064,3386645032
133,14680064,3387080050
134,14680064,3388455842
140,15728640,3629449838
141,15728640,3629133544
142,15728640,3629753836
143,15728640,3630394596
144,15728640,3629366274
150,16777216,3869675304
151,16777216,3869315906
152,16777216,3871191764
153,16777216,3871868542
154,16777216,3870418462
160,17825792,4112787552
161,17825792,4111556130
162,17825792,4111578786
163,17825792,4111227332
164,17825792,4112107594
170,18874368,4352342260
171,18874368,4352661108
172,18874368,4353810176
173,18874368,4353368834
174,18874368,4353445478
180,19922944,4594727532
181,19922944,4594487342
182,19922944,4594739218
183,19922944,4596282316
184,19922944,4596078970
190,20971520,4837589640
191,20971520,4836465138
192,20971520,4836313750
193,20971520,4838385592
194,20971520,4838645420
200,22020096,5080397490
201,22020096,5081971022
202,22020096,5080770902
203,22020096,5080002820
204,22020096,5078895330
210,23068672,5322685972
211,23068672,5322825302
212,23068672,5321950694
213,23068672,5320561924
214,23068672,5323582446
220,24117248,5563488910
221,24117248,5563995498
222,24117248,5564936772
223,24117248,5563837812
224,24117248,5564506252
230,25165824,5805021204
231,25165824,5805754636
232,25165824,5807005862
233,25165824,5804931440
234,25165824,5805605108
240,26214400,6046419792
241,26214400,6045775156
242,26214400,6047900426
243,26214400,6049815432
244,26214400,6047586462
250,27262976,6288547804
251,27262976,6289120804
252,27262976,6289093012
253,27262976,6290824510
254,27262976,6288981874
260,28311552,6531367446
261,28311552,6531341768
262,28311552,6530858138
263,28311552,6531680908
264,28311552,6532366670
270,29360128,6772483080
271,29360128,6773063222
272,29360128,6771964806
273,29360128,6772577024
274,29360128,6772316210
280,30408704,7014399932
281,30408704,7014408304
282,30408704,7014851062
283,30408704,7015075556
284,30408704,7014631764
290,31457280,7257090284
291,31457280,7257190790
292,31457280,7257980636
293,31457280,7258050452
294,31457280,7257643900
300,32505856,7498304676
301,32505856,7500811306
302,32505856,7498655238
303,32505856,7498753740
304,32505856,7499455182
310,33554432,7741558294
311,33554432,7740099148
312,33554432,7740808264
313,33554432,7742432354
314,33554432,7741131286
320,34603008,7982094958
321,34603008,7983371494
322,34603008,7983386064
323,34603008,7982332668
324,34603008,7981876382
330,35651584,8223791906
331,35651584,8223427076
332,35651584,8226109666
333,35651584,8228085516
334,35651584,8226460928
340,36700160,8471103138
341,36700160,8468803674
342,36700160,8466121866
343,36700160,8469179820
344,36700160,8469530744
350,37748736,8711894894
351,37748736,8711503558
352,37748736,8711599936
353,37748736,8711303770
354,37748736,8712228928
360,38797312,8954161196
361,38797312,8954178180
362,38797312,8954190774
363,38797312,8953287840
364,38797312,8954631550
370,39845888,9196414518
371,39845888,9197847668
372,39845888,9196499722
373,39845888,9192271480
374,39845888,9191540672
380,40894464,9436985078
381,40894464,9433263990
382,40894464,9433659598
383,40894464,9436930692
384,40894464,9435032208
