workload_counter,input_len,workload_cycles
5,1048576,241638196
6,1048576,241554812
7,1048576,241604964
8,1048576,241655394
9,1048576,241640822
15,2097152,483152528
16,2097152,483203364
17,2097152,483121226
18,2097152,483198068
19,2097152,483161824
25,3145728,724861552
26,3145728,724670704
27,3145728,724646922
28,3145728,724795974
29,3145728,724899894
35,4194304,966301590
36,4194304,966508364
37,4194304,966407412
38,4194304,966280182
39,4194304,966474522
45,5242880,1207925630
46,5242880,1207894038
47,5242880,1207955656
48,5242880,1207783452
49,5242880,1207930734
55,6291456,1449404494
56,6291456,1449221760
57,6291456,1449564436
58,6291456,1449641550
59,6291456,1449458502
65,7340032,1691013448
66,7340032,1691014130
67,7340032,1691165988
68,7340032,1690898186
69,7340032,1691450676
75,8388608,1932708562
76,8388608,1932671264
77,8388608,1932617336
78,8388608,1932587002
79,8388608,1932846806
85,9437184,2174450414
86,9437184,2174530750
87,9437184,2174176430
88,9437184,2174337098
89,9437184,2174268220
95,10485760,2415703072
96,10485760,2415772152
97,10485760,2415843892
98,10485760,2415748254
99,10485760,2415867516
105,11534336,2657705528
106,11534336,2657620566
107,11534336,2657375906
108,11534336,2657371690
109,11534336,2657479228
115,12582912,2899008728
116,12582912,2899103756
117,12582912,2899098490
118,12582912,2898946948
119,12582912,2898987060
125,13631488,3140947148
126,13631488,3140924378
127,13631488,3140472734
128,13631488,3140806266
129,13631488,3140660770
135,14680064,3382334042
136,14680064,3382128294
137,14680064,3381974272
138,14680064,3382108712
139,14680064,3382089894
145,15728640,3623890968
146,15728640,3623393292
147,15728640,3623825234
148,15728640,3623587036
149,15728640,3623866430
155,16777216,3865396750
156,16777216,3865317038
157,16777216,3865292650
158,16777216,3865350600
159,16777216,3865359248
165,17825792,4106567264
166,17825792,4106717214
167,17825792,4106806444
168,17825792,4107126904
169,17825792,4107087468
175,18874368,4348712984
176,18874368,4348399046
177,18874368,4348423274
178,18874368,4348704728
179,18874368,4348311266
185,19922944,4590078354
186,19922944,4589751752
187,19922944,4589846654
188,19922944,4590261438
189,19922944,4590340530
195,20971520,4832036794
196,20971520,4831901070
197,20971520,4832046260
198,20971520,4831791754
199,20971520,4832081276
205,22020096,5073542440
206,22020096,5073598618
207,22020096,5073399332
208,22020096,5073023348
209,22020096,5073188048
215,23068672,5314646888
216,23068672,5315047772
217,23068672,5314910550
218,23068672,5314707756
219,23068672,5314834760
225,24117248,5556641004
226,24117248,5556518298
227,24117248,5557176394
228,24117248,5556694026
229,24117248,5556794354
235,25165824,5798054260
236,25165824,5798030310
237,25165824,5798308386
238,25165824,5798103316
239,25165824,5797925598
245,26214400,6039802622
246,26214400,6039480464
247,26214400,6039844464
248,26214400,6040115752
249,26214400,6039937108
255,27262976,6281251472
256,27262976,6281274368
257,27262976,6280765392
258,27262976,6281011928
259,27262976,6280830532
265,28311552,6522929956
266,28311552,6522726158
267,28311552,6522796864
268,28311552,6522290490
269,28311552,6523151726
275,29360128,6764452092
276,29360128,6764290226
277,29360128,6764321660
278,29360128,6764202170
279,29360128,6764317570
285,30408704,7005607622
286,30408704,7005780084
287,30408704,7006150452
288,30408704,7005969322
289,30408704,7005658950
295,31457280,7247383844
296,31457280,7247374492
297,31457280,7247108906
298,31457280,7247286448
299,31457280,7247448112
305,32505856,7488904552
306,32505856,7489409570
307,32505856,7488620792
308,32505856,7489555314
309,32505856,7489216400
315,33554432,7730524958
316,33554432,7730469928
317,33554432,7730764812
318,33554432,7730293452
319,33554432,7730380094
325,34603008,7972528560
326,34603008,7972626528
327,34603008,7972126150
328,34603008,7972128424
329,34603008,7972068750
335,35651584,8213872292
336,35651584,8214015484
337,35651584,8213836534
338,35651584,8214024708
339,35651584,8213797026
345,36700160,8455265086
346,36700160,8455687318
347,36700160,8455506582
348,36700160,8454814670
349,36700160,8454836134
355,37748736,8697359560
356,37748736,8697559226
357,37748736,8697301342
358,37748736,8696888994
359,37748736,8697185622
365,38797312,8938073538
366,38797312,8938801668
367,38797312,8938327038
368,38797312,8938718460
369,38797312,8938406400
375,39845888,9180303054
376,39845888,9179436070
377,39845888,9179945150
378,39845888,9179934974
379,39845888,9180101334
385,40894464,9421631748
386,40894464,9422072034
387,40894464,9421815142
388,40894464,9421393472
389,40894464,9421736226
