81042066,77882485,78873857,80111267,81097996
158736267,159427692,157401926,159618517,157545209
236744511,237344840,237731039,239332076,235086719
319120477,319945243,319534139,318650982,320704306
401019198,398472139,397395662,396390860,396719080
478603016,478064862,486395359,479168496,481902290
559002439,560103527,551758614,559025530,558645827
638310635,639881380,645122201,642908866,638132520
715431804,709571312,712194502,715868619,711083331
790564864,793420397,784017680,789948431,792156906
870718215,869238106,869863479,868532620,868500593
944823625,952419358,955871814,950929019,959467273
1034474021,1037914300,1039287344,1033870777,1043519562
1111221339,1108000624,1117849983,1105444802,1121711661
24081718,18715818,28388928,23089696,22885663
131941591,101888777,104251872,102942573,111246129
202416768,186081243,189571395,199907759,206449236
277213808,258200250,249659422,254496435,271136770
346441555,345406252,346441987,339882943,339019620
425925554,415949835,404021562,410429992,417970929
502857695,506121196,499187495,483476891,482510188
573151573,588983540,592824009,582629809,574124462
658867464,663001388,656790793,674031900,687013179
750321017,752707629,744767636,759521208,759102772
816737327,836859084,830111658,834053199,839316405
918544395,929516445,908386012,906853605,920694938
994777779,992222264,1015852327,979690605,971199553
1087395823,1081812566,1068396354,1067148567,1068191650
1158759432,1152829893,1156610781,1161987239,1147237719
64361667,78850677,74397622,71830292,69897175
155374771,150986822,152251358,149287159,158088478
252704538,249581651,245475205,249331519,236495785
302579859,306615247,320294538,319242390,303742747
396580884,385077633,368777047,388540230,414568280
484628985,475235492,506015856,526564995,484841971
567114006,569275265,538387410,540934978,558257934
648967406,664933317,628532037,641464270,654316157
739723749,733272060,746927529,749116317,746539538
843852447,830805550,823191431,808240359,841065394
