139,140,140,141,142
141,140,140,140,141
140,140,140,140,140
141,140,140,140,140
141,141,140,140,140
140,139,140,141,140
140,140,140,140,140
2,1,1,1,1
17,17,17,16,16
30,30,29,29,29
39,39,39,39,39
48,48,48,48,48
55,55,55,55,55
61,61,62,61,61
67,67,67,67,66
2,2,2,2,2
10,10,10,10,10
17,17,17,17,17
24,24,24,24,24
30,30,30,29,30
35,35,35,35,34
40,40,40,41,41
44,44,44,44,44
2,2,2,2,2
8,8,8,8,8
13,13,13,13,13
17,17,17,17,17
22,22,22,22,22
27,26,26,26,26
30,30,30,30,30
33,33,33,33,33
2,2,2,2,2
6,6,6,6,6
10,10,10,10,10
14,14,14,14,14
17,17,17,17,17
20,20,20,20,20
24,24,24,24,24
27,27,27,27,27
