0,1048576,146788577,147347455,147174578,148821664,149596467
5,1048576,144626339,144630794,144642420,144649451,144628340
10,2097152,296199798,294719281,294384338,294019628,296276242
15,2097152,289242217,289368361,289341263,289288943,289296727
20,3145728,440914062,441270243,441994488,442539044,441798836
25,3145728,433970646,433888599,433918705,433980320,434038632
30,4194304,592822725,588146784,588268215,588956455,589981157
35,4194304,578601180,578603103,578661528,578574282,578625443
40,5242880,740095058,742074527,736127841,738509338,735548090
45,5242880,723339055,723227973,723196580,723158342,723226853
50,6291456,881530007,880435844,883093801,888094617,883357832
55,6291456,867961381,867832890,867820185,867865311,867923021
60,7340032,1031265207,1031109053,1031051334,1030280465,1031644494
65,7340032,1012569162,1012460401,1012477168,1012494037,1012797339
70,8388608,20194254,11036450,12804982,15693842,16632746
75,8388608,1157399499,1157347163,1157386938,1157590584,1157308583
80,9437184,165182081,164120689,163209391,158509972,158700949
85,9437184,140141054,139927888,139770177,139772593,140069625
90,10485760,317016050,316927739,313179093,313625837,312753461
95,10485760,284745082,284938859,284864512,284768668,284725693
100,11534336,455863611,458544542,460123148,458179082,460312983
105,11534336,429828898,429594437,429598480,429349218,429148298
110,12582912,612158781,610575137,610431723,605255169,615041839
115,12582912,574113691,574210488,574315103,574167201,574310025
120,13631488,760845541,757821844,753752985,757693420,758362273
125,13631488,718909486,718852978,718670287,718753500,719066850
130,14680064,907945290,909207897,910428456,906561383,903974829
135,14680064,863734653,863607619,863544108,863644014,863660283
140,15728640,1055155135,1056021652,1056305278,1064821341,1051207695
145,15728640,1008408722,1008218290,1008231974,1007928620,1008146623
150,16777216,36180383,45879530,38727874,39546077,38298599
155,16777216,1152767730,1152634960,1152710433,1152637981,1152957021
160,17825792,188402804,187376260,189490069,191567377,183650017
165,17825792,135641053,135600338,135370101,135474717,135520317
170,18874368,335176914,335514569,334686805,332058536,336449669
175,18874368,280316996,279858827,280424013,280274342,280295452
180,19922944,482421720,482853297,484822923,486814805,491558093
185,19922944,424544122,424487546,424978056,424925158,425103279
190,20971520,639810556,639173374,634637849,622165583,633050335
195,20971520,569790397,569473444,569323944,569774449,569168647
200,22020096,780626704,777725279,779575508,778454054,766244169
205,22020096,714189650,714431971,713963421,714513402,714189916
210,23068672,932050827,944400868,929532203,946489519,947697431
215,23068672,859262167,858365589,858300730,858699161,859066107
220,24117248,1082775632,1080037407,1071681117,1065602100,1074242492
225,24117248,1003436715,1003592461,1003508363,1003615702,1003528378
230,25165824,67639432,64157834,60198993,70260520,73845335
235,25165824,1147911032,1148047690,1148614271,1148417191,1147635797
240,26214400,221371067,225948474,223112084,231307279,227724151
245,26214400,131095786,131009088,131216992,130731976,130729223
250,27262976,366205109,374038092,370347748,375497040,367211546
255,27262976,275448990,275622153,274535526,275805752,275602061
260,28311552,503703959,506144760,508585825,504033788,507642504
265,28311552,420428004,419994306,419984502,420562601,420334756
270,29360128,654385775,649849357,661253099,653278581,657835744
275,29360128,564809160,564746972,564831887,565113734,565230958
280,30408704,825659702,806136349,804091113,808753433,810152439
285,30408704,709514523,709347215,709736217,709463474,709252137
290,31457280,959627197,967087471,950974887,950750676,952290671
295,31457280,854228886,854505863,853629477,853973391,854256555
300,32505856,1093281994,1083301176,1087715237,1087732054,1092059702
305,32505856,998762511,998889138,998421159,998704999,998498324
310,33554432,86287722,81999876,87156810,87659676,82406189
315,33554432,1143830744,1144296760,1143263557,1144034895,1143735987
320,34603008,235966393,211054932,216777033,219052292,224435557
325,34603008,126047177,126079640,126983586,126454439,126768823
330,35651584,379098166,382967965,376461992,369995481,375319963
335,35651584,270999970,270442776,269660672,270859804,270594099
340,36700160,519545591,515408052,518027311,517211410,524643394
345,36700160,415126221,415833190,415081262,415163889,415988443
350,37748736,662365246,664495124,671644540,666296347,664894287
355,37748736,559809650,559830158,560089731,559835244,560341698
360,38797312,809810701,791242901,796312461,804815867,802434315
365,38797312,704391504,704767290,704279819,703498434,704998144
370,39845888,960522298,957702314,966391989,969169218,977245561
375,39845888,849056021,848440859,848616618,848266913,848635700
380,40894464,1121936093,1105838763,1105036715,1114838818,1110602887
385,40894464,993297071,993252602,993391188,993133407,992988285
