159,157,158,157,159
155,155,154,155,155
158,158,158,157,157
155,155,155,155,155
157,157,158,158,158
155,155,155,155,155
157,157,158,158,158
155,155,155,155,155
159,158,159,158,157
155,155,155,155,155
159,159,159,159,157
155,155,155,155,155
0,0,0,0,0
155,155,155,155,155
20,20,20,19,20
17,17,17,17,17
36,35,35,37,36
32,32,32,32,32
47,47,48,48,47
44,44,44,44,44
57,57,57,58,58
54,54,54,54,54
66,66,66,66,66
63,63,63,63,63
73,73,73,73,73
70,70,70,70,70
0,0,0,0,0
76,76,76,76,76
12,12,11,11,11
8,8,8,8,8
20,20,20,20,20
17,17,17,17,17
28,28,29,29,29
25,25,25,25,25
36,38,38,36,36
32,32,32,32,32
42,42,42,42,42
39,39,39,39,39
48,48,49,49,48
45,45,45,45,45
1,1,2,2,1
50,50,50,50,50
8,9,9,9,8
4,4,4,4,4
14,14,14,14,15
11,11,11,11,11
20,20,21,20,21
17,17,17,17,17
27,26,26,26,26
23,22,23,23,22
32,32,31,31,31
28,28,28,28,28
36,35,35,35,35
32,32,32,32,32
1,0,1,1,1
37,37,37,37,37
6,5,5,6,6
3,3,3,3,3
12,11,11,11,11
8,8,8,8,8
16,16,16,16,16
13,13,13,13,13
20,20,20,20,20
17,17,17,17,17
24,23,23,24,24
21,21,21,21,21
28,28,28,29,29
25,25,25,25,25
1,1,0,1,1
29,29,29,29,29
6,5,5,5,5
2,2,2,2,2
9,12,10,9,9
6,6,6,6,6
13,13,13,13,13
10,10,10,10,10
17,17,17,17,17
14,14,14,14,14
