146788577,147347455,147174578,148821664,149596467
296199798,294719281,294384338,294019628,296276242
440914062,441270243,441994488,442539044,441798836
592822725,588146784,588268215,588956455,589981157
740095058,742074527,736127841,738509338,735548090
881530007,880435844,883093801,888094617,883357832
1031265207,1031109053,1031051334,1030280465,1031644494
20194254,11036450,12804982,15693842,16632746
165182081,164120689,163209391,158509972,158700949
317016050,316927739,313179093,313625837,312753461
455863611,458544542,460123148,458179082,460312983
612158781,610575137,610431723,605255169,615041839
760845541,757821844,753752985,757693420,758362273
907945290,909207897,910428456,906561383,903974829
1055155135,1056021652,1056305278,1064821341,1051207695
36180383,45879530,38727874,39546077,38298599
188402804,187376260,189490069,191567377,183650017
335176914,335514569,334686805,332058536,336449669
482421720,482853297,484822923,486814805,491558093
639810556,639173374,634637849,622165583,633050335
780626704,777725279,779575508,778454054,766244169
932050827,944400868,929532203,946489519,947697431
1082775632,1080037407,1071681117,1065602100,1074242492
67639432,64157834,60198993,70260520,73845335
221371067,225948474,223112084,231307279,227724151
366205109,374038092,370347748,375497040,367211546
503703959,506144760,508585825,504033788,507642504
654385775,649849357,661253099,653278581,657835744
825659702,806136349,804091113,808753433,810152439
959627197,967087471,950974887,950750676,952290671
1093281994,1083301176,1087715237,1087732054,1092059702
86287722,81999876,87156810,87659676,82406189
235966393,211054932,216777033,219052292,224435557
379098166,382967965,376461992,369995481,375319963
519545591,515408052,518027311,517211410,524643394
662365246,664495124,671644540,666296347,664894287
809810701,791242901,796312461,804815867,802434315
960522298,957702314,966391989,969169218,977245561
1121936093,1105838763,1105036715,1114838818,1110602887
