159,157,158,157,159
158,158,158,157,157
157,157,158,158,158
157,157,158,158,158
159,158,159,158,157
159,159,159,159,157
0,0,0,0,0
20,20,20,19,20
36,35,35,37,36
47,47,48,48,47
57,57,57,58,58
66,66,66,66,66
73,73,73,73,73
0,0,0,0,0
12,12,11,11,11
20,20,20,20,20
28,28,29,29,29
36,38,38,36,36
42,42,42,42,42
48,48,49,49,48
1,1,2,2,1
8,9,9,9,8
14,14,14,14,15
20,20,21,20,21
27,26,26,26,26
32,32,31,31,31
36,35,35,35,35
1,0,1,1,1
6,5,5,6,6
12,11,11,11,11
16,16,16,16,16
20,20,20,20,20
24,23,23,24,24
28,28,28,29,29
1,1,0,1,1
6,5,5,5,5
9,12,10,9,9
13,13,13,13,13
17,17,17,17,17
