1048576,167530574,165649637,166505640,165171185,166824044
2097152,331924643,331860917,331802593,330634856,329656161
3145728,496642526,496844376,499466471,497380129,498708203
4194304,660740898,660889844,663747847,665552701,665619616
5242880,834767225,830509094,833628763,832618957,826981766
6291456,1000558955,1002215478,1000672397,1000711055,993118721
7340032,4527793,5107247,4026005,4596736,2681469
8388608,172914923,174040049,172447279,166866755,172650002
9437184,340941985,338970992,337248801,356242750,342556431
10485760,499034860,499507031,505618690,510215556,503244441
11534336,668321921,668260290,668562326,671905338,671524897
12582912,836193364,842107563,842566245,836845997,836211121
13631488,1005537477,1004809334,1005709639,1002110948,1002653209
14680064,11128743,12006644,10213613,9334268,14425103
15728640,196988870,190318379,186990104,184499095,179985464
16777216,335888951,348747739,346945577,343342905,344946303
17825792,516828129,504353492,518488706,524082023,526114338
18874368,695492584,717346207,722558572,693768224,685268390
19922944,856609892,839818740,841039514,844127350,855220673
20971520,1020160781,1009143361,1030526297,1034736425,1026824055
22020096,43508188,42845741,53201419,46484450,38275554
23068672,199781599,213738185,212914802,209230834,198037352
24117248,353095028,361069191,356347528,351421401,365965923
25165824,519682762,521989967,534554539,523614079,538083388
26214400,718876291,698566519,697749866,704103041,699316681
27262976,883623520,882670952,865965919,861054940,862357362
28311552,1023000038,1007930887,1008764643,1015516685,1012756479
29360128,38645453,26351898,35651537,35806108,29915317
30408704,206529578,175523193,179361004,184435121,191253779
31457280,378834984,370068069,367087463,356280956,362667873
32505856,523141774,521804922,527278449,532493817,550112314
33554432,693081209,695061941,701798361,687204630,687686154
34603008,860019024,824089509,829637471,842378845,846115703
35651584,1022288211,1013731237,1029863408,1037191397,1053722497
36700160,46416699,39660447,35074178,41382749,37485730
37748736,227135403,214710531,210694267,196340091,206669712
38797312,379775241,467345024,394130248,383132189,374848257
39845888,536100913,534076775,537064270,532591908,557163809
40894464,710604451,732327870,724458290,700536986,708403435
