155,155,154,155,155
155,155,155,155,155
155,155,155,155,155
155,155,155,155,155
155,155,155,155,155
155,155,155,155,155
155,155,155,155,155
17,17,17,17,17
32,32,32,32,32
44,44,44,44,44
54,54,54,54,54
63,63,63,63,63
70,70,70,70,70
76,76,76,76,76
8,8,8,8,8
17,17,17,17,17
25,25,25,25,25
32,32,32,32,32
39,39,39,39,39
45,45,45,45,45
50,50,50,50,50
4,4,4,4,4
11,11,11,11,11
17,17,17,17,17
23,22,23,23,22
28,28,28,28,28
32,32,32,32,32
37,37,37,37,37
3,3,3,3,3
8,8,8,8,8
13,13,13,13,13
17,17,17,17,17
21,21,21,21,21
25,25,25,25,25
29,29,29,29,29
2,2,2,2,2
6,6,6,6,6
10,10,10,10,10
14,14,14,14,14
